sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
340300,Marchwiel East,South Canterbury,65,Masked,60, >950 , 923 
340600,Waimataitai-Maori Hill,South Canterbury,47,41,37, 872 , 787 
340700,Fraser Park,South Canterbury,48,Masked,40, >950 , 833 
340800,Seaview,South Canterbury,55,Masked,43, >950 , 782 
341000,Watlington,South Canterbury,52,49,39, 942 , 750 
341300,Parkside,South Canterbury,68,56,53, 824 , 779 
343900,Oamaru North Milner Park,Southern,146,Masked,127, >950 , 870 
344000,Oamaru North Orana Park,Southern,187,Masked,153, >950 , 818 
344200,Glen Warren,Southern,126,89,68, 706 , 540 
344500,South Hill,Southern,62,Masked,53, >950 , 855 
344900,Cromwell West,Southern,73,Masked,Masked, >950 , >950 
345000,Cromwell East,Southern,42,Masked,35, >950 , 833 
348400,Frankton,Southern,43,Masked,40, >950 , 930 
348700,Shotover Country,Southern,53,Masked,Masked, >950 , >950 
349900,Mosgiel Central,Southern,42,Masked,Masked, >950 , >950 
350000,Seddon Park,Southern,49,42,39, 857 , 796 
350400,Halfway Bush,Southern,53,49,44, 925 , 830 
350600,Glenleith,Southern,40,Masked,Masked, >950 , >950 
350900,Brockville,Southern,98,Masked,84, >950 , 857 
351000,Wakari,Southern,93,77,72, 828 , 774 
351300,Pine Hill-Dalmore,Southern,58,48,38, 828 , 655 
351600,Roslyn (Dunedin City),Southern,42,39,35, 929 , 833 
351700,North East Valley Chingford,Southern,49,Masked,40, >950 , 816 
352000,North East Valley Knox,Southern,88,Masked,79, >950 , 898 
352200,Gardens (Dunedin City),Southern,87,Masked,Masked, >950 , >950 
352400,Campus West,Southern,65,Masked,Masked, >950 , >950 
352900,Arthur Street,Southern,62,53,43, 855 , 694 
353100,Campus North,Southern,134,Masked,126, >950 , 940 
353200,Campus South,Southern,91,Masked,81, >950 , 890 
353300,Mornington,Southern,91,81,72, 890 , 791 
353400,Dunedin Central,Southern,71,Masked,67, >950 , 944 
353500,Maryhill,Southern,79,72,60, 911 , 759 
353800,Fernhill,Southern,67,Masked,56, >950 , 836 
354000,Concord,Southern,56,52,48, 929 , 857 
354100,Calton Hill,Southern,74,55,46, 743 , 622 
354200,Caversham,Southern,121,105,86, 868 , 711 
354400,Kew (Dunedin City),Southern,47,43,42, 915 , 894 
354500,Corstorphine,Southern,108,92,78, 852 , 722 
354600,Forbury,Southern,72,67,57, 931 , 792 
354700,Bathgate Park,Southern,118,107,96, 907 , 814 
354800,St Clair,Southern,55,51,47, 927 , 855 
355200,St Kilda South,Southern,126,Masked,110, >950 , 873 
355500,St Kilda North,Southern,112,Masked,102, >950 , 911 
355700,Tainui,Southern,54,44,40, 815 , 741 
356500,Balclutha South,Southern,70,Masked,Masked, >950 , >950 
356600,Balclutha North,Southern,57,54,48, 947 , 842 
360600,Prestonville-Grasmere,Southern,69,63,56, 913 , 812 
361500,Windsor ,Southern,52,49,42, 942 , 808 
361600,Richmond (Invercargill City),Southern,72,Masked,64, >950 , 889 
361700,Glengarry,Southern,80,Masked,66, >950 , 825 
362000,Crinan,Southern,56,Masked,44, >950 , 786 
362100,Georgetown,Southern,79,75,64, 949 , 810 
362200,Kew (Invercargill City),Southern,125,Masked,111, >950 , 888 
362400,Newfield,Southern,80,60,53, 750 , 663 
362500,Strathern,Southern,61,53,45, 869 , 738 
362600,Elizabeth Park,Southern,50,Masked,43, >950 , 860 
362700,Aurora,Southern,77,67,48, 870 , 623 
362800,Moulson,Southern,54,48,41, 889 , 759 
362900,Kingswell,Southern,69,58,48, 841 , 696 
363000,Clifton,Southern,77,68,57, 883 , 740 
363300,Bluff,Southern,56,44,39, 786 , 696 
Unknown,Unknown,Unknown,5411,Masked,5057, >950 , 935 
