"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"50170","Whangarei District West","Whangarei District West","Total","Total","Total",810,1929,459,84,6,0,15,39,0,27,3372,1080,2184,579,102,3,0,9,24,3,24,4011
"Total","Total","Total","50170","Whangarei District West","Whangarei District West",810,492,132,39,3,0,6,39,0,27,1548,1080,564,141,36,0,0,0,15,3,12,1854
"50180","Kamo","Kamo","Total","Total","Total",423,2274,492,171,42,3,18,93,0,30,3540,606,2805,603,204,27,0,33,105,0,42,4428
"Total","Total","Total","50180","Kamo","Kamo",423,1401,288,87,15,0,12,75,0,18,2319,606,1626,327,102,15,0,18,102,0,21,2817
"50190","Tikipunga","Tikipunga","Total","Total","Total",225,1413,231,108,36,0,12,36,0,21,2085,324,1881,339,162,21,0,36,39,0,21,2823
"Total","Total","Total","50190","Tikipunga","Tikipunga",225,489,42,33,0,0,6,21,0,6,825,324,570,84,30,9,0,6,21,0,6,1053
"50200","Whangarei District South","Whangarei District South","Total","Total","Total",411,954,192,42,0,0,3,18,3,21,1641,465,993,252,57,3,0,3,15,0,12,1797
"Total","Total","Total","50200","Whangarei District South","Whangarei District South",411,402,57,36,0,0,6,21,0,12,945,465,405,87,18,3,3,3,12,0,12,1002
"50210","Otangarei","Otangarei","Total","Total","Total",51,258,21,30,3,0,0,15,0,3,390,60,288,39,42,9,0,6,12,0,0,465
"Total","Total","Total","50210","Otangarei","Otangarei",51,96,3,6,0,0,0,12,0,0,171,60,120,6,9,3,0,0,15,0,3,216
"50220","Whau Valley","Whau Valley","Total","Total","Total",135,684,114,42,3,3,12,33,0,6,1029,198,756,156,42,12,0,15,24,0,15,1221
"Total","Total","Total","50220","Whau Valley","Whau Valley",135,267,30,21,0,0,3,18,0,0,477,198,285,54,15,6,0,3,18,0,3,579
"50230","Kensington (Whangarei District)","Kensington (Whangarei District)","Total","Total","Total",303,1206,198,105,9,0,27,177,0,27,2052,336,1479,228,81,18,3,57,159,0,18,2373
"Total","Total","Total","50230","Kensington (Whangarei District)","Kensington (Whangarei District)",303,1011,174,60,9,0,9,96,0,6,1671,336,1125,168,66,9,3,15,75,0,9,1803
"50240","Whangārei Centre","Whangarei Centre","Total","Total","Total",165,720,105,69,9,0,18,129,0,12,1227,228,849,150,60,9,3,27,120,0,9,1446
"Total","Total","Total","50240","Whangārei Centre","Whangarei Centre",165,7128,1272,411,105,0,111,411,3,75,9681,228,8295,1506,552,117,6,132,360,3,114,11313
"50250","Riverside","Riverside","Total","Total","Total",117,549,120,45,6,0,21,54,0,3,909,174,582,120,27,3,0,15,45,0,12,984
"Total","Total","Total","50250","Riverside","Riverside",117,129,21,3,3,0,3,9,0,3,288,174,159,33,24,3,0,3,9,0,0,408
"50260","Woodhill-Vinetown","Woodhill-Vinetown","Total","Total","Total",144,624,87,48,0,0,21,102,0,12,1041,129,756,108,54,6,0,21,132,0,27,1233
"Total","Total","Total","50260","Woodhill-Vinetown","Woodhill-Vinetown",144,282,48,24,6,0,3,18,0,3,525,129,402,60,33,6,0,12,24,0,6,672
"50270","Horahora","Horahora","Total","Total","Total",78,312,33,33,6,0,3,93,0,3,564,87,393,51,21,3,0,9,144,3,9,717
"Total","Total","Total","50270","Horahora","Horahora",78,1593,24,39,6,0,36,114,0,9,1902,87,2241,87,60,9,6,54,165,0,15,2724
"50280","Maunu","Maunu","Total","Total","Total",114,579,111,42,6,0,15,27,0,12,906,177,687,150,48,6,0,15,21,0,12,1119
"Total","Total","Total","50280","Maunu","Maunu",114,375,24,12,0,0,3,24,0,0,549,177,378,36,21,0,0,3,21,0,6,642
"50290","Raumanga-Port Whangārei","Raumanga-Port Whangarei","Total","Total","Total",156,1011,141,108,18,0,15,57,0,21,1527,195,1248,186,126,21,0,6,48,3,30,1860
"Total","Total","Total","50290","Raumanga-Port Whangārei","Raumanga-Port Whangarei",156,3102,996,186,9,0,18,45,0,48,4557,195,3447,1269,162,15,0,30,51,0,45,5214
"50300","Onerahi","Onerahi","Total","Total","Total",261,1557,234,102,33,0,27,36,0,15,2265,387,1686,282,102,30,0,39,36,0,18,2574
"Total","Total","Total","50300","Onerahi","Onerahi",261,357,45,30,3,0,0,27,0,6,729,387,369,54,24,6,0,3,27,0,6,870
"50310","Bream Bay","Bream Bay","Total","Total","Total",573,1446,273,63,3,0,9,36,0,18,2427,852,1851,465,72,6,0,12,54,0,36,3345
"Total","Total","Total","50310","Bream Bay","Bream Bay",573,1194,204,204,3,0,12,36,0,33,2256,852,1452,366,78,6,0,12,51,3,27,2841
