"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"Total","Total","Total","51770","Highland Park (Auckland)","Highland Park (Auckland)",135,720,63,39,36,12,12,45,0,6,1059,288,597,45,51,21,0,6,45,3,12,1065
"51780","Botany Downs","Botany Downs","Total","Total","Total",261,1854,336,63,63,72,6,27,24,21,2733,480,1800,315,93,84,21,9,36,9,24,2871
"Total","Total","Total","51780","Botany Downs","Botany Downs",261,456,63,27,15,6,6,15,3,6,864,480,426,66,21,12,3,3,18,0,3,1035
"51790","Pakuranga","Pakuranga","Total","Total","Total",309,2610,426,150,213,180,24,90,3,42,4050,663,2565,384,129,204,105,24,63,3,48,4188
"Total","Total","Total","51790","Pakuranga","Pakuranga",309,1671,159,135,117,21,12,90,3,12,2526,663,1605,144,90,96,12,18,75,6,24,2730
"51800","Golflands","Golflands","Total","Total","Total",114,786,147,30,27,21,3,21,3,9,1155,225,696,129,33,33,9,12,18,3,6,1158
"Total","Total","Total","51800","Golflands","Golflands",114,207,30,6,9,3,3,6,0,0,378,225,270,48,21,12,3,0,12,0,3,588
"51810","Burswood","Burswood","Total","Total","Total",57,564,102,30,30,18,6,12,0,9,825,153,492,78,33,33,12,6,12,0,6,825
"Total","Total","Total","51810","Burswood","Burswood",57,54,15,6,6,3,0,3,0,0,141,153,21,12,0,0,0,0,3,0,0,186
"51820","East Tamaki","East Tamaki","Total","Total","Total",315,2376,390,84,123,66,12,102,9,36,3516,615,2250,363,120,108,48,18,90,3,21,3636
"Total","Total","Total","51820","East Tamaki","East Tamaki",315,23178,5172,1518,783,240,180,342,21,267,32019,615,25845,5385,1692,861,153,216,288,24,366,35448
"51830","Ōtāhuhu","Otahuhu","Total","Total","Total",342,3561,366,429,246,252,30,177,3,54,5463,729,3579,447,366,159,150,36,168,3,111,5745
"Total","Total","Total","51830","Ōtāhuhu","Otahuhu",342,6183,1257,378,444,309,54,201,39,81,9288,729,6810,1206,378,204,138,48,168,3,96,9786
"51840","Maraetai","Maraetai","Total","Total","Total",168,681,186,15,6,3,3,9,60,3,1131,324,699,192,21,6,0,3,21,63,9,1338
"Total","Total","Total","51840","Maraetai","Maraetai",168,138,33,12,3,0,0,9,0,0,366,324,138,30,12,0,0,0,18,0,0,525
"51850","Mellons Bay","Mellons Bay","Total","Total","Total",282,1095,276,42,39,27,12,30,51,12,1860,480,1119,231,45,51,15,6,24,30,9,2016
"Total","Total","Total","51850","Mellons Bay","Mellons Bay",282,453,66,18,6,6,0,27,3,3,867,480,438,48,15,12,0,3,27,0,0,1029
"51860","Beachlands","Beachlands","Total","Total","Total",363,1770,594,60,9,6,24,72,189,21,3108,906,2058,621,90,39,3,24,63,213,24,4041
"Total","Total","Total","51860","Beachlands","Beachlands",363,513,111,33,12,6,15,57,0,3,1119,906,705,120,51,15,3,18,57,6,12,1890
"51870","Howick","Howick","Total","Total","Total",510,3297,687,147,159,90,24,111,54,30,5109,1047,3243,696,165,207,51,18,96,48,42,5613
"Total","Total","Total","51870","Howick","Howick",510,1656,261,111,102,18,9,147,9,15,2838,1047,1782,237,129,60,3,6,114,0,12,3393
"51880","Franklin North","Franklin North","Total","Total","Total",726,1731,561,66,12,42,0,33,27,24,3219,1011,1851,564,81,12,18,6,39,39,12,3630
"Total","Total","Total","51880","Franklin North","Franklin North",726,843,234,63,6,6,3,30,0,6,1920,1011,1005,243,72,6,3,3,36,3,6,2388
"51890","Cockle Bay","Cockle Bay","Total","Total","Total",276,1260,321,45,45,33,6,33,24,21,2067,519,1248,270,57,69,12,15,24,15,12,2235
"Total","Total","Total","51890","Cockle Bay","Cockle Bay",276,228,57,15,18,3,3,15,3,0,621,519,192,36,9,3,0,3,12,3,3,777
"51900","Shelly Park","Shelly Park","Total","Total","Total",195,858,213,33,27,12,6,12,18,21,1392,300,900,213,33,27,12,12,15,12,6,1524
"Total","Total","Total","51900","Shelly Park","Shelly Park",195,132,33,3,0,3,0,3,0,0,375,300,138,18,3,0,3,0,6,0,3,471
"51910","Somerville","Somerville","Total","Total","Total",201,1281,249,60,57,48,6,21,15,12,1953,429,1233,222,54,45,12,3,33,6,12,2049
"Total","Total","Total","51910","Somerville","Somerville",201,573,57,39,21,6,0,30,0,3,930,429,582,69,45,27,3,6,42,0,3,1212
"51920","Northpark","Northpark","Total","Total","Total",219,1611,267,54,66,48,9,36,12,18,2340,477,1401,246,81,66,33,9,33,9,21,2373
"Total","Total","Total","51920","Northpark","Northpark",219,369,30,12,9,0,0,15,0,0,657,477,408,39,9,12,3,3,6,3,6,963
"51930","Dannemora","Dannemora","Total","Total","Total",219,1149,210,57,42,24,3,30,3,12,1746,411,1050,204,66,39,9,6,39,3,9,1833
"Total","Total","Total","51930","Dannemora","Dannemora",219,264,18,15,21,3,0,21,0,3,564,411,291,30,15,9,3,0,12,0,3,780
"51940","East Tamaki Heights","East Tamaki Heights","Total","Total","Total",294,1761,318,84,57,48,3,39,6,18,2628,570,1650,300,99,66,24,12,33,0,12,2772
"Total","Total","Total","51940","East Tamaki Heights","East Tamaki Heights",294,381,45,18,21,3,3,15,3,3,780,570,369,48,9,15,0,3,6,0,9,1032
"51950","Laingholm","Laingholm","Total","Total","Total",180,708,156,27,30,54,9,15,0,12,1188,339,636,123,24,24,27,12,9,0,12,1206
"Total","Total","Total","51950","Laingholm","Laingholm",180,81,12,0,0,0,0,12,0,0,285,339,78,12,6,3,0,0,12,0,0,450
"51960","Māngere","Mangere","Total","Total","Total",438,5220,474,690,264,153,24,96,6,51,7416,909,5253,489,672,144,69,30,66,0,87,7719
"Total","Total","Total","51960","Māngere","Mangere",438,20538,2004,1464,816,234,129,198,15,699,26535,909,22689,2412,1746,711,165,111,150,9,696,29595
"51970","Franklin Central","Franklin Central","Total","Total","Total",1206,2877,948,129,9,180,18,84,0,51,5505,1764,3288,1113,144,12,90,12,99,0,39,6561
"Total","Total","Total","51970","Franklin Central","Franklin Central",1206,2295,567,195,39,24,9,81,0,33,4449,1764,3132,828,243,21,12,6,108,6,39,6153
"51980","Ōtara","Otara","Total","Total","Total",312,4680,429,726,303,159,33,135,3,72,6852,657,4542,468,705,183,63,12,78,0,90,6795
"Total","Total","Total","51980","Ōtara","Otara",312,2100,243,132,87,33,9,90,6,21,3039,657,2097,249,153,63,12,6,57,0,21,3315
"51990","Papatoetoe","Papatoetoe","Total","Total","Total",1014,12942,1428,1095,714,1107,69,345,3,150,18864,2301,13590,1584,1215,546,609,60,321,3,228,20460
"Total","Total","Total","51990","Papatoetoe","Papatoetoe",1014,3858,561,312,177,156,27,192,3,54,6351,2301,4194,558,339,153,87,24,210,0,69,7938
"52000","Flat Bush","Flat Bush","Total","Total","Total",1140,10221,1362,708,369,348,24,120,3,117,14412,3582,14151,2061,948,540,300,33,171,9,192,21993
"Total","Total","Total","52000","Flat Bush","Flat Bush",1140,2529,366,198,132,39,15,129,0,24,4575,3582,3291,432,291,135,21,21,144,0,39,7956
"52010","Māngere East","Mangere East","Total","Total","Total",456,6285,600,804,288,321,27,195,6,66,9042,1044,6459,723,750,225,159,18,195,6,138,9714
"Total","Total","Total","52010","Māngere East","Mangere East",456,5049,171,303,162,648,24,219,3,48,7080,1044,6201,222,435,192,675,48,225,0,96,9135
"52020","Clover Park","Clover Park","Total","Total","Total",168,2307,258,267,75,75,9,51,0,15,3225,354,2142,252,267,69,30,3,27,0,36,3186
"Total","Total","Total","52020","Clover Park","Clover Park",168,147,24,12,3,3,3,6,0,0,369,354,207,36,18,9,0,3,3,0,0,630
"52030","Manukau","Manukau","Total","Total","Total",111,1032,132,96,48,54,12,54,0,27,1572,210,1101,129,69,54,48,6,45,0,12,1671
"Total","Total","Total","52030","Manukau","Manukau",111,10812,1638,867,576,492,60,237,12,126,14928,210,11166,1875,999,579,234,42,147,15,195,15465
"52040","Goodwood Heights","Goodwood Heights","Total","Total","Total",171,1419,201,90,30,69,3,24,0,15,2028,360,1314,183,84,30,48,3,6,0,15,2043
"Total","Total","Total","52040","Goodwood Heights","Goodwood Heights",171,189,36,15,6,3,0,9,0,3,435,360,195,39,12,6,3,0,9,0,3,627
"52050","The Gardens (Auckland)","The Gardens (Auckland)","Total","Total","Total",216,1284,249,81,21,63,6,18,0,18,1959,378,1248,201,66,12,42,9,9,3,18,1980
"Total","Total","Total","52050","The Gardens (Auckland)","The Gardens (Auckland)",216,339,45,15,6,6,3,27,0,3,663,378,312,33,30,15,3,0,15,3,6,792
"52060","Wiri","Wiri","Total","Total","Total",105,924,87,87,45,60,3,33,0,6,1353,321,1212,147,141,45,63,6,60,0,21,2025
"Total","Total","Total","52060","Wiri","Wiri",105,9354,2016,588,207,270,45,144,6,102,12840,321,11646,2475,714,162,117,54,105,6,171,15774
"52070","Totara Heights","Totara Heights","Total","Total","Total",72,930,147,57,9,45,3,6,0,6,1275,249,969,156,45,24,24,6,6,0,12,1488
"Total","Total","Total","52070","Totara Heights","Totara Heights",72,54,27,6,3,3,3,3,0,0,168,249,48,24,3,0,0,0,0,0,0,321
"52080","Alfriston","Alfriston","Total","Total","Total",150,1149,177,60,18,48,0,9,0,3,1620,240,1104,174,54,21,48,3,9,0,21,1671
"Total","Total","Total","52080","Alfriston","Alfriston",150,156,45,24,15,3,0,6,0,3,405,240,225,33,21,6,3,3,6,0,3,537
"52090","Hillpark","Hillpark","Total","Total","Total",177,1740,279,105,69,138,6,45,0,27,2583,390,1689,252,129,45,54,12,24,3,33,2628
"Total","Total","Total","52090","Hillpark","Hillpark",177,270,30,15,6,6,0,12,0,3,516,390,342,48,12,9,3,3,6,0,3,819
"52100","Manurewa","Manurewa","Total","Total","Total",579,8226,990,846,270,603,42,195,3,87,11841,1347,8322,1053,882,255,342,21,126,3,141,12492
"Total","Total","Total","52100","Manurewa","Manurewa",579,2949,315,189,111,87,18,132,3,30,4422,1347,3231,405,210,84,33,12,93,0,39,5457
"52110","Takanini","Takanini","Total","Total","Total",300,3183,432,201,54,348,15,81,3,21,4638,1014,4041,549,234,66,336,21,72,3,75,6408
"Total","Total","Total","52110","Takanini","Takanini",300,3621,843,216,96,78,21,105,6,36,5325,1014,4194,939,309,81,42,21,105,3,69,6780
"52120","Randwick Park","Randwick Park","Total","Total","Total",114,1605,201,138,60,84,3,24,0,15,2241,237,1560,201,120,45,45,3,12,0,18,2244
"Total","Total","Total","52120","Randwick Park","Randwick Park",114,255,21,12,9,3,0,15,0,3,429,237,309,24,9,0,3,3,12,0,6,606
"52130","Clendon Park","Clendon Park","Total","Total","Total",150,1965,210,231,63,99,3,18,0,24,2763,324,2007,225,201,54,36,3,30,0,21,2898
"Total","Total","Total","52130","Clendon Park","Clendon Park",150,435,45,45,18,12,0,27,0,3,738,324,573,45,63,18,3,3,36,0,12,1071
"52140","Weymouth","Weymouth","Total","Total","Total",234,2967,390,258,96,141,3,33,0,27,4155,507,2925,396,279,78,90,3,30,0,27,4335
"Total","Total","Total","52140","Weymouth","Weymouth",234,360,60,27,9,6,3,15,0,3,717,507,372,42,21,3,3,0,12,0,3,957
"52150","Franklin West","Franklin West","Total","Total","Total",903,2154,561,90,0,45,9,36,0,39,3834,1239,2349,651,93,3,24,6,48,0,36,4446
"Total","Total","Total","52150","Franklin West","Franklin West",903,1662,150,63,3,3,9,30,0,27,2856,1239,1902,261,54,12,3,3,48,0,24,3546
"52160","Conifer Grove","Conifer Grove","Total","Total","Total",201,1347,306,66,18,102,6,39,0,15,2103,471,1719,315,99,27,120,9,39,0,24,2823
"Total","Total","Total","52160","Conifer Grove","Conifer Grove",201,129,30,6,0,3,3,12,0,0,390,471,309,45,24,3,0,3,15,0,6,876
"52170","Wattle Downs","Wattle Downs","Total","Total","Total",273,2529,480,168,39,150,9,30,0,36,3705,582,2577,438,138,48,108,12,15,0,27,3945
"Total","Total","Total","52170","Wattle Downs","Wattle Downs",273,240,48,30,9,6,3,24,0,6,633,582,282,48,24,3,3,3,12,0,3,960
"52180","Karaka","Karaka","Total","Total","Total",246,1197,321,51,6,129,3,6,0,12,1974,624,1557,333,84,6,63,3,18,0,15,2706
"Total","Total","Total","52180","Karaka","Karaka",246,420,81,24,6,3,3,12,0,0,801,624,753,105,90,9,6,9,21,3,3,1626
"52190","Hunua-Ararimu","Hunua-Ararimu","Total","Total","Total",375,936,336,24,0,54,3,9,0,18,1755,555,999,342,51,3,27,6,15,3,12,2013
"Total","Total","Total","52190","Hunua-Ararimu","Hunua-Ararimu",375,195,75,21,6,3,0,9,0,6,693,555,204,75,18,0,3,3,12,0,3,873
"52200","Papakura","Papakura","Total","Total","Total",621,5865,963,426,102,597,45,210,0,105,8934,1662,8028,1203,585,150,567,48,186,3,129,12561
"Total","Total","Total","52200","Papakura","Papakura",621,4437,891,306,123,135,48,219,0,45,6825,1662,5157,960,375,78,60,42,198,0,96,8637
"52210","Pahurehure","Pahurehure","Total","Total","Total",120,984,219,60,18,102,9,30,0,15,1557,252,912,237,69,9,48,9,24,0,15,1575
"Total","Total","Total","52210","Pahurehure","Pahurehure",120,177,42,15,6,3,0,12,3,0,378,252,207,39,12,0,0,0,9,0,0,519
"52220","Red Hill","Red Hill","Total","Total","Total",63,621,129,39,18,60,6,15,0,6,954,135,561,129,48,6,30,3,6,0,9,933
"Total","Total","Total","52220","Red Hill","Red Hill",63,48,15,3,3,3,3,0,0,0,135,135,48,3,3,0,0,0,0,0,0,192
"52230","Ōpaheke","Opaheke","Total","Total","Total",102,816,198,54,15,114,3,24,0,15,1344,222,927,195,66,12,60,6,18,0,12,1515
"Total","Total","Total","52230","Ōpaheke","Opaheke",102,102,27,3,3,3,0,9,0,0,249,222,102,36,3,0,0,3,9,0,3,381
"52240","Rosehill","Rosehill","Total","Total","Total",114,1038,207,69,36,102,6,30,0,9,1614,204,1107,171,75,18,66,6,21,0,18,1680
"Total","Total","Total","52240","Rosehill","Rosehill",114,381,24,15,6,6,0,24,0,0,570,204,483,33,33,6,0,6,15,0,6,780
"52250","Drury","Drury","Total","Total","Total",48,234,66,12,3,18,0,9,0,3,396,114,471,90,30,3,18,0,15,0,6,750
"Total","Total","Total","52250","Drury","Drury",48,891,357,66,18,6,6,21,0,15,1431,114,822,384,69,12,9,6,21,0,15,1452
"52260","Patumāhoe","Patumahoe","Total","Total","Total",396,1107,342,39,3,57,0,51,0,15,2001,498,1206,354,42,3,21,6,24,0,3,2157
"Total","Total","Total","52260","Patumāhoe","Patumahoe",396,711,210,66,3,9,0,54,0,12,1461,498,864,249,78,3,0,6,30,0,6,1731
"52270","Pukekohe North West","Pukekohe North West","Total","Total","Total",165,1077,237,60,3,69,9,84,0,15,1719,282,1203,234,105,18,18,6,57,0,18,1941
"Total","Total","Total","52270","Pukekohe North West","Pukekohe North West",165,660,258,42,3,9,0,39,3,3,1179,282,1023,324,72,9,6,6,30,0,6,1761
"52280","Pukekohe North East","Pukekohe North East","Total","Total","Total",300,1734,513,84,12,123,6,54,3,21,2850,555,1908,558,117,24,48,12,69,0,12,3306
"Total","Total","Total","52280","Pukekohe North East","Pukekohe North East",300,441,96,30,9,12,3,21,0,6,915,555,552,75,33,9,3,0,21,0,9,1260
"52290","Pukekohe West","Pukekohe West","Total","Total","Total",198,1695,384,99,6,123,6,87,0,27,2625,570,2580,498,153,33,72,12,93,0,30,4044
"Total","Total","Total","52290","Pukekohe West","Pukekohe West",198,378,72,33,9,6,0,36,0,6,735,570,582,72,39,6,3,0,39,0,6,1314
"52300","Pukekohe South","Pukekohe South","Total","Total","Total",159,948,297,42,0,66,3,36,0,9,1560,288,1086,342,60,3,21,0,27,0,15,1848
"Total","Total","Total","52300","Pukekohe South","Pukekohe South",159,447,66,12,9,9,0,15,0,6,723,288,579,90,21,9,3,3,15,0,6,1008
"52310","Pukekohe Centre","Pukekohe Centre","Total","Total","Total",84,540,132,33,0,36,0,48,0,3,879,138,510,126,36,3,9,6,33,0,3,867
"Total","Total","Total","52310","Pukekohe Centre","Pukekohe Centre",84,3591,756,207,54,57,15,198,6,24,4986,138,4203,837,303,60,9,27,165,0,27,5769
"52320","Waiuku","Waiuku","Total","Total","Total",348,2634,519,129,18,72,15,99,0,24,3861,732,2616,537,111,15,27,6,96,0,33,4170
"Total","Total","Total","52320","Waiuku","Waiuku",348,1239,243,84,9,12,15,99,3,12,2058,732,1311,243,87,9,6,9,90,0,15,2496
"52330","Thames-Coromandel District North","Thames-Coromandel District North","Total","Total","Total",363,483,108,54,0,3,15,90,0,9,1119,402,516,114,24,0,0,15,63,0,6,1137
"Total","Total","Total","52330","Thames-Coromandel District North","Thames-Coromandel District North",363,465,90,51,0,0,15,87,0,3,1080,402,483,153,30,0,0,15,57,0,3,1146
"52340","Mercury Bay","Mercury Bay","Total","Total","Total",537,501,108,33,0,0,12,66,9,12,1281,714,699,189,36,0,0,18,72,12,9,1755
"Total","Total","Total","52340","Mercury Bay","Mercury Bay",537,312,84,27,0,0,9,57,3,6,1035,714,441,105,30,0,0,18,78,3,12,1401
"52360","Whitianga","Whitianga","Total","Total","Total",486,990,240,84,0,0,66,144,3,18,2037,621,1164,312,81,9,0,45,159,3,24,2415
"Total","Total","Total","52360","Whitianga","Whitianga",486,1068,243,93,0,0,66,150,6,18,2133,621,1272,306,87,3,0,42,147,12,18,2508
"52370","Thames-Coromandel District West","Thames-Coromandel District West","Total","Total","Total",372,624,126,30,3,3,9,33,0,9,1203,429,744,165,39,0,0,18,30,0,9,1434
"Total","Total","Total","52370","Thames-Coromandel District West","Thames-Coromandel District West",372,156,63,9,0,0,3,24,0,9,639,429,234,51,12,0,0,6,21,0,6,756
"52380","Thames-Coromandel District East","Thames-Coromandel District East","Total","Total","Total",306,357,96,15,0,0,15,66,3,9,873,411,414,114,18,0,0,12,78,0,9,1056
"Total","Total","Total","52380","Thames-Coromandel District East","Thames-Coromandel District East",306,309,60,18,0,0,15,66,0,6,783,411,339,87,15,0,0,15,75,0,6,954
"52390","Thames","Thames","Total","Total","Total",312,1296,279,66,6,0,42,228,0,15,2244,441,1395,303,72,3,0,27,234,0,12,2490
"Total","Total","Total","52390","Thames","Thames",312,2187,399,96,6,0,51,249,0,15,3309,441,2448,444,117,3,0,36,243,0,15,3744
"52400","Whangamatā","Whangamata","Total","Total","Total",330,693,183,45,0,0,36,114,0,9,1407,540,825,231,54,3,0,54,99,3,15,1821
"Total","Total","Total","52400","Whangamatā","Whangamata",330,666,174,42,0,0,33,114,0,9,1371,540,807,216,54,3,0,51,96,0,12,1776
"52410","Hauraki Plains","Hauraki Plains","Total","Total","Total",825,1005,243,57,6,0,18,90,0,60,2301,876,1500,420,60,0,0,12,87,0,75,3033
"Total","Total","Total","52410","Hauraki Plains","Hauraki Plains",825,570,150,48,0,0,18,84,0,54,1749,876,816,255,48,0,0,12,84,0,72,2160
"52420","Paeroa","Paeroa","Total","Total","Total",477,903,204,45,0,0,24,84,0,21,1761,525,1356,294,84,3,0,18,84,0,24,2388
"Total","Total","Total","52420","Paeroa","Paeroa",477,936,225,45,0,0,27,90,0,21,1824,525,1218,285,72,3,0,18,81,0,24,2226
"52430","Waihī","Waihi","Total","Total","Total",603,1236,210,54,0,0,30,120,0,18,2271,765,1686,276,87,3,3,18,120,0,27,2985
"Total","Total","Total","52430","Waihī","Waihi",603,1239,216,45,3,0,30,117,0,18,2268,765,1611,267,78,3,3,18,111,0,27,2880
"52440","Waikato District North East","Waikato District North East","Total","Total","Total",1227,1416,372,60,3,9,12,111,3,105,3315,1533,2373,729,126,6,3,9,111,3,93,4989
"Total","Total","Total","52440","Waikato District North East","Waikato District North East",1227,897,213,60,3,0,9,111,3,99,2619,1533,1512,360,78,3,3,9,99,3,81,3684
"52450","Tuakau","Tuakau","Total","Total","Total",396,1200,336,66,0,57,3,54,0,21,2127,642,2007,564,117,15,21,3,90,0,18,3477
"Total","Total","Total","52450","Tuakau","Tuakau",396,657,168,48,3,0,3,57,3,6,1335,642,957,198,102,6,0,6,69,0,3,1983
"52460","Pōkeno","Pokeno","Total","Total","Total",282,921,258,36,0,39,3,15,0,12,1566,816,2379,609,123,15,42,3,36,0,15,4035
"Total","Total","Total","52460","Pōkeno","Pokeno",282,378,153,24,0,0,0,15,0,3,852,816,1203,318,84,6,3,6,30,0,15,2481
"52470","Waikato District North West","Waikato District North West","Total","Total","Total",1197,1668,474,75,3,45,3,30,0,45,3543,1473,2454,699,135,12,18,3,45,0,51,4890
"Total","Total","Total","52470","Waikato District North West","Waikato District North West",1197,462,144,39,3,0,3,33,0,30,1911,1473,795,219,57,0,3,0,39,0,30,2622
"52490","Huntly","Huntly","Total","Total","Total",465,1638,294,123,18,3,15,78,0,39,2670,678,2478,480,138,36,3,24,57,3,42,3933
"Total","Total","Total","52490","Huntly","Huntly",465,1308,288,105,6,0,18,66,0,36,2292,678,1695,387,96,15,3,21,57,0,30,2982
"52500","Waikato District South East","Waikato District South East","Total","Total","Total",1104,2031,540,63,9,0,27,72,3,105,3957,1509,3081,819,132,15,0,27,81,0,102,5769
"Total","Total","Total","52500","Waikato District South East","Waikato District South East",1104,1146,279,60,3,0,15,75,0,87,2769,1509,1809,408,111,9,0,24,78,0,93,4041
"52510","Ngāruawāhia-Horotiu","Ngaruawahia-Horotiu","Total","Total","Total",243,1332,246,69,18,0,21,69,0,12,2010,540,2454,474,150,36,0,21,66,0,21,3765
"Total","Total","Total","52510","Ngāruawāhia-Horotiu","Ngaruawahia-Horotiu",243,1044,207,60,6,0,15,69,0,15,1656,540,1698,432,87,12,0,24,63,0,9,2871
"52520","Whatawhata-Te Kōwhai","Whatawhata-Te Kowhai","Total","Total","Total",582,1326,429,36,0,0,9,24,0,15,2424,828,1830,624,66,12,3,18,33,0,24,3438
"Total","Total","Total","52520","Whatawhata-Te Kōwhai","Whatawhata-Te Kowhai",582,354,81,21,0,0,3,21,0,9,1074,828,585,147,36,3,0,6,30,0,15,1650
"52530","Waikato District South West","Waikato District South West","Total","Total","Total",681,1065,231,81,9,0,39,96,0,21,2226,1062,1407,291,81,12,0,42,105,0,21,3018
"Total","Total","Total","52530","Waikato District South West","Waikato District South West",681,588,111,54,9,0,39,93,0,18,1593,1062,792,156,45,6,0,42,102,0,9,2217
"52540","Waikato District Tamahere","Waikato District Tamahere","Total","Total","Total",648,1137,342,24,3,3,21,18,0,12,2211,894,1740,432,87,0,3,54,27,0,18,3249
"Total","Total","Total","52540","Waikato District Tamahere","Waikato District Tamahere",648,474,114,24,3,3,3,15,0,3,1287,894,939,195,45,6,3,12,30,0,18,2139
"52550","Morrinsville Rural","Morrinsville Rural","Total","Total","Total",957,849,186,21,0,0,9,39,0,84,2148,1020,1062,258,42,3,0,3,51,0,87,2526
"Total","Total","Total","52550","Morrinsville Rural","Morrinsville Rural",957,582,123,15,3,0,9,39,0,87,1812,1020,837,171,24,0,0,3,42,0,75,2172
"52560","Te Aroha Rural","Te Aroha Rural","Total","Total","Total",750,633,102,39,0,0,3,45,0,96,1671,726,774,165,39,3,0,6,45,0,102,1863
"Total","Total","Total","52560","Te Aroha Rural","Te Aroha Rural",750,897,102,51,0,0,9,48,0,93,1950,726,1359,147,63,0,0,12,39,0,96,2448
"52570","Te Aroha","Te Aroha","Total","Total","Total",189,1026,141,45,3,0,24,66,0,6,1497,273,1164,177,54,0,0,21,63,0,9,1770
"Total","Total","Total","52570","Te Aroha","Te Aroha",189,870,147,48,0,0,21,69,0,12,1353,273,1065,195,81,0,0,18,69,0,9,1713
"52580","Morrinsville","Morrinsville","Total","Total","Total",315,1935,357,90,3,0,24,117,0,18,2862,492,2595,591,120,9,0,30,141,0,15,3993
"Total","Total","Total","52580","Morrinsville","Morrinsville",315,1857,414,81,0,0,27,123,0,18,2832,492,2217,603,108,3,0,30,144,0,15,3612
"52590","Matamata Rural","Matamata Rural","Total","Total","Total",1197,1023,219,54,3,0,6,75,0,108,2688,1137,1170,318,60,0,0,9,63,0,126,2889
"Total","Total","Total","52590","Matamata Rural","Matamata Rural",1197,981,201,57,0,0,6,72,0,111,2628,1137,1167,282,45,0,0,9,60,0,126,2826
"52600","Matamata","Matamata","Total","Total","Total",366,1734,444,105,0,0,57,231,0,15,2952,522,2274,612,111,0,0,57,180,0,15,3771
"Total","Total","Total","52600","Matamata","Matamata",366,1887,537,102,3,0,57,231,0,12,3189,522,2235,630,132,3,0,57,189,0,24,3789
"52610","Burbush-Baverstock-Te Rapa","Burbush-Baverstock-Te Rapa","Total","Total","Total",72,216,63,9,3,0,0,3,0,3,369,135,366,75,21,9,0,6,3,0,6,621
"Total","Total","Total","52610","Burbush-Baverstock-Te Rapa","Burbush-Baverstock-Te Rapa",72,10728,2820,474,249,0,300,165,0,144,14955,135,14037,3747,717,405,3,258,174,0,213,19689
"52620","Rototuna","Rototuna","Total","Total","Total",480,2697,492,117,84,3,75,39,0,39,4020,984,3531,708,192,117,3,75,75,0,48,5733
"Total","Total","Total","52620","Rototuna","Rototuna",480,735,99,33,21,0,21,30,0,9,1422,984,1191,123,66,27,0,30,51,0,9,2481
"52630","Flagstaff","Flagstaff","Total","Total","Total",570,2673,591,99,48,0,63,15,0,21,4077,1062,3660,756,186,96,3,84,51,0,30,5931
"Total","Total","Total","52630","Flagstaff","Flagstaff",570,372,75,18,9,0,9,9,0,0,1059,1062,711,108,36,12,0,15,45,0,9,2001
"52640","Pukete","Pukete","Total","Total","Total",234,1308,252,54,42,0,60,42,0,18,2007,312,1464,294,72,51,0,39,30,0,24,2292
"Total","Total","Total","52640","Pukete","Pukete",234,147,24,6,6,0,0,15,0,3,432,312,192,36,3,9,0,3,6,0,3,564
"52650","Queenwood (Hamilton City)","Queenwood (Hamilton City)","Total","Total","Total",141,639,141,24,21,0,18,24,0,9,1017,219,747,165,42,18,3,18,15,0,15,1239
"Total","Total","Total","52650","Queenwood (Hamilton City)","Queenwood (Hamilton City)",141,105,15,6,6,0,0,9,0,0,276,219,117,18,12,3,0,0,6,0,0,378
"52660","Saint Andrews","Saint Andrews","Total","Total","Total",222,1323,270,66,54,0,51,66,0,24,2076,381,1632,309,90,48,3,48,66,0,27,2604
"Total","Total","Total","52660","Saint Andrews","Saint Andrews",222,309,75,21,12,0,6,12,0,6,663,381,354,60,21,6,3,6,12,0,6,852
"52670","Huntington","Huntington","Total","Total","Total",426,2376,471,102,39,0,48,36,0,18,3528,762,2766,552,132,78,3,51,39,0,33,4419
"Total","Total","Total","52670","Huntington","Huntington",426,528,96,45,15,0,12,36,0,9,1164,762,711,84,57,18,0,15,39,0,15,1701
"52680","Chartwell-Chedworth","Chartwell-Chedworth","Total","Total","Total",261,1479,231,69,51,0,51,78,3,27,2247,405,1830,255,126,69,0,66,87,3,30,2868
"Total","Total","Total","52680","Chartwell-Chedworth","Chartwell-Chedworth",261,918,57,39,54,0,15,84,3,6,1434,405,1212,84,114,66,0,21,90,0,18,2013
"52690","Fairfield (Hamilton City)","Fairfield (Hamilton City)","Total","Total","Total",342,1617,291,99,51,0,81,111,0,21,2613,537,2118,327,132,81,0,93,93,0,33,3411
