sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
194800,Tauranga South,Bay of Plenty,657,493,398, 750 , 606 
194900,Arataki North,Bay of Plenty,387,325,276, 840 , 713 
195000,Matapihi,Bay of Plenty,475,368,292, 775 , 615 
195100,Pyes Pa West,Bay of Plenty,341,296,246, 868 , 721 
195200,Greerton North,Bay of Plenty,546,406,310, 744 , 568 
195300,Yatton Park,Bay of Plenty,755,516,375, 683 , 497 
195400,Pyes Pa North,Bay of Plenty,383,296,246, 773 , 642 
195500,Arataki South,Bay of Plenty,479,366,285, 764 , 595 
195600,Pyes Pa South,Bay of Plenty,95,81,65, 853 , 684 
195700,Poike,Bay of Plenty,210,147,106, 700 , 505 
195800,Te Maunga North,Bay of Plenty,539,368,284, 683 , 527 
195900,Maungatapu,Bay of Plenty,513,422,336, 823 , 655 
196000,Hairini,Bay of Plenty,637,482,369, 757 , 579 
196100,Pyes Pa East,Bay of Plenty,141,89,71, 631 , 504 
196200,Te Maunga South,Bay of Plenty,397,322,255, 811 , 642 
196300,Kaitemako (Tauranga City),Bay of Plenty,248,190,146, 766 , 589 
196400,Ohauiti,Bay of Plenty,248,197,165, 794 , 665 
196500,Baypark-Kairua,Bay of Plenty,292,206,172, 705 , 589 
196600,Welcome Bay West,Bay of Plenty,503,347,266, 690 , 529 
196700,Welcome Bay East,Bay of Plenty,474,338,237, 713 , 500 
196800,Pacific View,Bay of Plenty,255,207,166, 812 , 651 
196900,Welcome Bay South,Bay of Plenty,400,299,243, 748 , 608 
197000,Palm Beach North,Bay of Plenty,570,431,337, 756 , 591 
197100,Palm Beach South-Gravatt,Bay of Plenty,311,248,211, 797 , 678 
197200,Papamoa Beach North,Bay of Plenty,416,293,225, 704 , 541 
197300,Doncaster,Bay of Plenty,403,303,223, 752 , 553 
197400,Papamoa Beach South,Bay of Plenty,336,251,209, 747 , 622 
197500,Motiti,Bay of Plenty,341,287,237, 842 , 695 
197600,Wairakei ,Bay of Plenty,727,577,437, 794 , 601 
197700,Tui Ridge,Lakes,193,167,147, 865 , 762 
197900,Ngongotaha Valley,Lakes,328,274,229, 835 , 698 
198000,Hamurana,Lakes,135,116,99, 859 , 733 
198100,Ngongotaha East,Lakes,731,570,454, 780 , 621 
198200,Ngongotaha West,Lakes,386,276,228, 715 , 591 
198400,Ngongotaha South,Lakes,420,333,284, 793 , 676 
198500,Selwyn Heights,Lakes,486,377,296, 776 , 609 
198600,Pleasant Heights,Lakes,936,679,520, 725 , 556 
198700,Rotoiti-Rotoehu,Lakes,849,623,497, 734 , 585 
198800,Kawaha,Lakes,449,367,305, 817 , 679 
198900,Fairy Springs,Lakes,638,516,399, 809 , 625 
199000,Western Heights (Rotorua District),Lakes,1135,762,580, 671 , 511 
199100,Pukehangi North,Lakes,1144,789,605, 690 , 529 
199200,Pukehangi South,Lakes,473,383,320, 810 , 677 
199400,Koutu,Lakes,1153,882,706, 765 , 612 
199500,Mangakakahi West,Lakes,768,588,451, 766 , 587 
199600,Sunnybrook,Lakes,444,361,303, 813 , 682 
199700,Fordlands,Lakes,1227,857,596, 698 , 486 
199800,Kuirau,Lakes,469,358,282, 763 , 601 
199900,Utuhina,Lakes,400,350,306, 875 , 765 
200000,Pomare,Lakes,307,244,192, 795 , 625 
200100,Rotorua Central,Lakes,150,98,76, 653 , 507 
200200,Hillcrest (Rotorua District),Lakes,526,392,310, 745 , 589 
200300,Victoria,Lakes,561,420,359, 749 , 640 
200400,Waiohewa,Lakes,253,217,183, 858 , 723 
200500,Glenholme North,Lakes,852,590,473, 692 , 555 
200600,Springfield South,Lakes,284,235,196, 827 , 690 
200700,Springfield North,Lakes,270,235,213, 870 , 789 
200800,Glenholme South,Lakes,336,271,230, 807 , 685 
200900,Owhata West,Lakes,1065,791,623, 743 , 585 
201000,Holdens Bay-Rotokawa,Lakes,401,305,237, 761 , 591 
201100,Ngapuna,Lakes,257,213,143, 829 , 556 
201200,Fenton Park,Lakes,495,386,313, 780 , 632 
201300,Tihiotonga-Whakarewarewa,Lakes,249,197,168, 791 , 675 
201400,Owhata East,Lakes,938,750,621, 800 , 662 
201500,Lynmore,Lakes,345,322,279, 933 , 809 
201600,Ngakuru,Lakes,209,166,134, 794 , 641 
201700,Kaingaroa-Whakarewarewa,Lakes,421,277,215, 658 , 511 
201800,Golden Springs,Lakes,308,237,166, 769 , 539 
201900,Manawahe,Bay of Plenty,199,140,106, 704 , 533 
202000,Matata-Otakiri,Bay of Plenty,465,350,286, 753 , 615 
202100,Onepu Spring,Bay of Plenty,382,286,226, 749 , 592 
202200,Edgecumbe,Bay of Plenty,622,470,379, 756 , 609 
