SA2_code_usual_residence_address,SA22023_V1_00_NAME_usual_residence_address,SA2_usual_residence_easting,SA2_usual_residence_northing,SA2_code_educational_address,SA22023_V1_00_NAME_educational_institution_address,SA2_educational_easting,SA2_educational_northing,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,2018_Total_stated,2023_Total_stated
146300,Point England,1766230.042,5916385.974,139200,Orakei West,1761823.879,5919443.754,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,9
191300,Minden,1865590.565,5815116.922,193500,Bethlehem Central,1874607.454,5822170.72,-999,6,36,-999,-999,-999,27,-999,-999,-999,69,69
181100,Fitzroy ,1802521.88,5811899.999,179400,Hamilton Central,1800941.222,5815100.414,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,15
340400,Highfield North,1458472.274,5083701.436,340500,Highfield South,1458061.517,5082872.741,-999,-999,12,-999,-999,15,-999,-999,-999,-999,27,27
120200,Hobsonville Point,1748251.704,5926368.066,126600,Takapuna West,1757140.757,5927075.413,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,12
305900,Omaio,1620452.121,5425179.757,304100,Tahunanui,1620191.219,5429633.157,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
145600,Te Papapa,1760022.116,5912646.023,144100,Onehunga West,1758035.841,5912570.356,-999,-999,9,-999,-999,-999,-999,12,-999,-999,30,30
116100,Kumeu Rural East,1740512.836,5928755.678,115900,Riverhead,1741362.725,5930792.127,-999,-999,18,-999,-999,-999,-999,-999,-999,-999,18,18
199800,Kuirau,1884191.224,5774266.41,200100,Rotorua Central,1885223.088,5774125.294,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
321300,Prestons,1573133.052,5186143.852,321200,Ilam University,1565918.217,5180977.776,-999,27,-999,-999,-999,-999,-999,-999,-999,-999,42,42
243200,Maungaraki,1757607.46,5436403.341,242200,Trentham South,1771254.627,5442705.415,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
107300,Raumanga,1717444.516,6043036.336,106000,Kamo Central,1718078.353,6050219.545,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,15,15
321400,Strowan,1568373.342,5182738.065,323800,St Albans North,1570681.891,5182480.459,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,9
152600,Massey Road South,1762205.395,5906698.299,151600,Mangere Mascot,1761061.9,5906561.264,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,12,12
117900,Waiake,1755810.707,5936251.105,118300,Browns Bay Central,1755694.05,5935406.946,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
172800,Whatawhata East,1790088.13,5814133.664,179400,Hamilton Central,1800941.222,5815100.414,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,12
129800,Westmere North,1753214.768,5919899.427,130300,Westmere South-Western Springs,1753542.998,5919226.473,-999,-999,63,-999,12,165,-999,-999,-999,-999,246,246
116400,Taupaki,1738618.178,5923785.658,115000,Kumeu-Huapai,1737695.371,5929533.747,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,6
304700,Nelson Central-Trafalgar,1623627.722,5430927.274,305600,Grampians,1622899.618,5428280.539,-999,-999,6,-999,-999,6,-999,-999,-999,-999,15,15
200800,Glenholme South,1884568.269,5772156.081,200500,Glenholme North,1884461.046,5772848.632,-999,-999,42,-999,6,21,-999,-999,-999,-999,69,69
182900,Cambridge Park-River Garden,1815380.468,5802300.159,181800,Kaipaki,1807018.935,5804413.601,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,9
340800,Seaview,1459968.808,5082696.297,340600,Waimataitai-Maori Hill,1459967.42,5084010.794,-999,-999,27,-999,-999,18,-999,-999,-999,-999,57,57
219100,Mangorei,1691569.2,5662598.825,218000,Frankleigh Park,1692555.518,5673333.241,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,6
358100,Riversdale-Piano Flat,1289893.48,4955343.854,358200,Lumsden-Balfour,1258549.845,4924436.715,-999,-999,-999,-999,-999,-999,33,-999,-999,-999,36,36
133300,Quay Street-Customs Street,1758388.036,5920736.217,132700,Hobson Ridge North,1757164.846,5920642.219,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,9
112500,Waitoki,1741630.813,5944187.974,134800,Auckland-University,1757717.235,5920148.171,-999,6,-999,-999,-999,-999,-999,15,-999,-999,21,21
194300,Omanu Beach,1882969.878,5827208.527,193500,Bethlehem Central,1874607.454,5822170.72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
124700,Henderson Valley,1739794.758,5914359.424,125700,Henderson Lincoln South,1744724.508,5918626.168,-999,-999,9,-999,-999,-999,9,-999,-999,-999,21,21
235000,Makomako,1792385.258,5500494,234400,Waitarere,1791050.814,5506106.731,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
194800,Tauranga South,1878289.865,5821843.098,193200,Otumoetai North,1877749.325,5826190.602,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
307300,Woodbourne,1675384.761,5401921.874,307200,Lower Wairau ,1683983.455,5406858.603,-999,-999,21,-999,-999,-999,-999,-999,-999,-999,21,21
178400,Enderley North,1802088.88,5818049.504,180800,Silverdale (Hamilton City),1805083.242,5814786.246,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
135600,New Lynn Central South,1749857.362,5913368.435,117400,Albany West,1750694.096,5932478.837,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
213200,Taradale South,1929132.974,5615928.123,210900,Mayfair,1931550.353,5605044.427,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
125400,Milford West,1757090.072,5929053.018,133200,Queen Street,1757384.655,5920563.801,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,21
143100,Remuera Abbotts Park,1761574.251,5916363.599,138500,Newmarket,1758395.046,5918236.836,-999,-999,9,-999,-999,-999,-999,12,-999,-999,21,21
246400,Naenae South,1763524.114,5436155.804,246000,Waiwhetu,1760711.868,5434434.371,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
176800,Crawshaw,1796845.098,5817118.182,176300,Te Rapa South,1797415.125,5818291.088,-999,9,15,-999,-999,-999,-999,-999,-999,-999,30,30
150500,Pakuranga Heights North West,1768244.553,5913268.165,149000,Pakuranga West,1766467.126,5912571.924,-999,-999,15,-999,-999,9,-999,-999,-999,-999,24,24
202900,Allandale,1950212.382,5790231.204,202500,Coastlands,1948217.056,5793036.726,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,15,15
150400,Howick West,1771063.441,5915253.954,150500,Pakuranga Heights North West,1768244.553,5913268.165,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
149200,Sunnyhills East,1768515.657,5914397.332,145900,Penrose,1762344.246,5912451.073,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
127400,Birkenhead South,1754333.167,5924140.15,117300,Albany Central,1752234.194,5933923.727,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,15
162400,Glenbrook,1755770.044,5881294.138,169700,Aka Aka,1757342.856,5871331.968,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,15,15
141700,Epsom South,1757355.009,5914276.544,134200,Mount Albert Central,1753581.318,5916670.188,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
243000,Upper Hutt Central,1774286.377,5445054.658,242500,Wallaceville,1772989.213,5444888.46,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,12,12
146300,Point England,1766230.042,5916385.974,145100,Glendowie South,1766441.812,5918513.69,-999,-999,21,-999,-999,6,-999,-999,-999,-999,36,36
234500,Waikawa (Horowhenua District),1785027.397,5497407.926,236500,Otaki,1780625.624,5486454.868,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
155700,Otara South,1767033.096,5906995.224,153500,Otara West,1766075.284,5908393.018,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,15,15
136800,Owairaka East,1753391.565,5915413.726,117400,Albany West,1750694.096,5932478.837,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
131200,Ponsonby East,1755267.959,5920198.854,130400,Ponsonby West,1754625.673,5920342.086,-999,-999,18,-999,-999,-999,-999,-999,-999,-999,21,21
242400,Ebdentown,1773987.402,5445989.841,242000,Trentham North,1771700.929,5444481.147,-999,-999,18,-999,6,9,-999,-999,-999,-999,39,39
347900,Arrowtown,1271693.18,5014648.397,348200,Queenstown East,1259121.945,5004278.808,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
240700,Cannons Creek North,1756322.588,5444063.596,251300,Wellington University,1748011.652,5427644.255,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,15
153200,Aorere North,1762595.308,5906498.041,133200,Queen Street,1757384.655,5920563.801,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
249800,Woodridge,1753792.365,5435615.975,253700,Kilbirnie Central,1750045.71,5424508.237,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,12,12
124400,Birkdale South,1752341.76,5925906.975,126600,Takapuna West,1757140.757,5927075.413,-999,-999,15,-999,-999,-999,27,-999,-999,-999,48,48
250400,Karori South,1745136.237,5427708.958,250900,Thorndon,1748602.204,5429478.11,-999,-999,39,-999,-999,-999,90,21,-999,-999,153,153
332700,Sumner,1580909.022,5175309.428,324900,Hagley Park,1569279.482,5180196.929,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,30,30
335200,Rolleston North East,1551245.14,5173420.003,321000,Sockburn North,1564238.805,5179956.322,-999,-999,6,-999,-999,-999,6,-999,-999,-999,15,15
170200,Pokeno Rural,1777758.742,5873274.734,163700,Rosehill,1772271.948,5894413.299,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,9
318100,Templeton,1557159.631,5177680.021,327100,Christchurch Central-South,1571108.505,5179358.678,-999,12,-999,-999,-999,-999,-999,6,-999,-999,18,18
173000,Hamilton Park,1806064.667,5819511.441,180600,Hillcrest West (Hamilton City),1803675.246,5814357.437,-999,27,-999,-999,-999,-999,-999,-999,-999,-999,33,33
157400,Maraetai,1781607.663,5915640.744,148100,Sunnyhills West-Pakuranga North,1766832.732,5913639.223,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
359100,Edendale-Woodlands,1266757.801,4859787.1,361000,Invercargill Central,1241008.091,4849241.153,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,27,27
